"","obs","ARIMA","ETS","MLP","SA","SM"
"13",0.194117647058824,0.416415511621125,0.415010342093214,0.528061214382684,0.453162356032341,0.416415511621125
"14",0.476470588235294,0.31971668636355,0.352013153916493,0.0631778166990371,0.244969218993027,0.31971668636355
"15",0.382352941176471,0.416152596457895,0.387507620623745,0.54259068978482,0.44875030228882,0.416152596457895
"16",0.429411764705882,0.387319031467658,0.386037538912442,0.401201476718169,0.391519349032756,0.387319031467658
"17",0.382352941176471,0.406226424085019,0.398407591547743,0.233399266411541,0.346011094014768,0.398407591547743
"18",0.570588235294118,0.390592514118426,0.39382890762887,0.425518960833884,0.403313460860393,0.39382890762887
"19",0.429411764705882,0.468284643072614,0.444239540833307,0.62475001735119,0.512424733752371,0.468284643072614
"20",0.570588235294118,0.427145785545935,0.440010753626033,0.493444991237525,0.453533843469831,0.440010753626033
"21",0.805882352941176,0.486927854706938,0.477250618814903,0.594832908705299,0.51967046074238,0.486927854706938
"22",0.617647058823529,0.600755504372961,0.570974293979316,0.428683393286343,0.53347106387954,0.570974293979316
"23",0.570588235294118,0.55812648533356,0.584285068919886,0.646339093648255,0.596250215967234,0.584285068919886
"24",0.664705882352941,0.548937430850578,0.580378819303015,0.64541218502523,0.591576145059607,0.580378819303015
"25",0.664705882352941,0.592362682902341,0.604428360002038,0.435884862215204,0.544225301706528,0.592362682902341
"26",0.711764705882353,0.605239985480684,0.62161912503741,0.613973271564209,0.613610794027435,0.613973271564209
"27",0.382352941176471,0.635608168034558,0.647328069911774,0.774395425687323,0.685777221211218,0.647328069911774
"28",0.711764705882353,0.51066905877992,0.571758852720187,0.765352156385713,0.615926689295273,0.571758852720187
"29",0.805882352941176,0.626325159194928,0.611687629342366,0.573803154542347,0.603938647693214,0.611687629342366
"30",0.617647058823529,0.681101824374065,0.667070726296188,0.6120273590703,0.653399969913518,0.667070726296188
"31",0.382352941176471,0.624171370770718,0.65297541146618,0.727236766446819,0.668127849561239,0.65297541146618
"32",0.476470588235294,0.524086041934714,0.575795608471627,0.832263741689709,0.644048464032017,0.575795608471627
"33",0.382352941176471,0.538429245281398,0.54746874601241,0.274817936891616,0.453571976061808,0.538429245281398
"34",0.335294117647059,0.487831928846976,0.500378771277931,0.0296432190712439,0.33928463973205,0.487831928846976
