"";"L2";"Loss";"Phase"
"1";1;0,107061974704266;"Train"
"2";2;0,133352100849152;"Train"
"3";3;0,223336175084114;"Train"
"4";4;0,120098680257797;"Train"
"5";5;0,127286165952682;"Train"
"6";6;0,282701104879379;"Train"
"7";1;0,138689637184143;"Test"
"8";2;0,186071544885635;"Test"
"9";3;0,276779472827911;"Test"
"10";4;0,157014057040215;"Test"
"11";5;0,162618711590767;"Test"
"12";6;0,305005580186844;"Test"
