"";"L2";"Loss";"Phase"
"1";1;0,249776363372803;"Train"
"2";2;0,249830782413483;"Train"
"3";3;0,250273615121841;"Train"
"4";4;0,250147670507431;"Train"
"5";5;0,252116292715073;"Train"
"6";6;0,253978580236435;"Train"
"7";1;0,317259728908539;"Test"
"8";2;0,317187905311584;"Test"
"9";3;0,315313577651978;"Test"
"10";4;0,317864716053009;"Test"
"11";5;0,318176060914993;"Test"
"12";6;0,318974286317825;"Test"
